amount_received,amount_paid,amount_ratio,log_amount_paid,log_amount_received,amount_difference,hour_of_day,day_of_week,from_bank,to_bank,payment_format,payment_currency,receiving_currency,is_high_risk_format,is_cross_currency,is_bitcoin,is_laundering
6794.63,6794.63,0.9999999999998528,8.824035037519241,8.824035037519241,0.0,0,0,20,20,5,12,12,0,0,0,0
7739.29,7739.29,0.9999999999998708,8.954194433582135,8.954194433582135,0.0,0,0,3196,3196,5,12,12,0,0,0,0
1880.23,1880.23,0.9999999999994682,7.539681097211438,7.539681097211438,0.0,0,0,1208,1208,5,12,12,0,0,0,0
73966883.0,73966883.0,1.0,18.119128037490874,18.119128037490874,0.0,0,0,1208,20,3,12,12,0,0,0,0
45868454.0,45868454.0,1.0,17.641288183860905,17.641288183860905,0.0,0,0,1208,20,3,12,12,0,0,0,0
13284.41,13284.41,0.9999999999999247,9.49442171959199,9.49442171959199,0.0,0,0,3203,3203,5,12,12,0,0,0,0
9.72,9.72,0.9999999998971193,2.372111155642656,2.372111155642656,0.0,0,0,20,20,5,12,12,0,0,0,0
7.66,7.66,0.9999999998694517,2.1587147225743437,2.1587147225743437,0.0,0,0,1208,1208,5,12,12,0,0,0,0
16.33,16.33,0.999999999938763,2.8524391037275145,2.8524391037275145,0.0,0,0,11,11,5,12,12,0,0,0,0
4.86,4.86,0.9999999997942387,1.7681496035889213,1.7681496035889213,0.0,0,0,1208,1208,5,12,12,0,0,0,0
3.24,3.24,0.999999999691358,1.4445632692438664,1.4445632692438664,0.0,0,0,20,183112,4,12,12,0,0,0,0
47.17,47.17,0.9999999999788002,3.8747364206421295,3.8747364206421295,0.0,0,0,20,1601,4,12,12,0,0,0,0
848368.76,848368.76,0.9999999999999988,13.651071857473061,13.651071857473061,0.0,0,0,20,20,5,12,12,0,0,0,0
10134.05,10134.05,0.9999999999999013,9.223754992273044,9.223754992273044,0.0,0,0,3566,3566,5,12,12,0,0,0,0
335999.68,335999.68,0.999999999999997,12.724868462752816,12.724868462752816,0.0,0,0,11,2776,3,12,12,0,0,0,0
121.98,121.98,0.9999999999918019,4.812021740525323,4.812021740525323,0.0,0,0,0,0,5,12,12,0,0,0,0
45.39,45.39,0.9999999999779688,3.8370839187636525,3.8370839187636525,0.0,0,0,11,249457,4,12,12,0,0,0,0
23.4,23.4,0.999999999957265,3.1945831322991562,3.1945831322991562,0.0,0,0,0,0,5,12,12,0,0,0,0
30.23,30.23,0.9999999999669202,3.441379171294987,3.441379171294987,0.0,0,0,2776,71901,4,12,12,0,0,0,0
7.37,7.37,0.9999999998643148,2.124653884501384,2.124653884501384,0.0,0,0,11081,11081,5,12,12,0,0,0,0
121.38,121.38,0.9999999999917614,4.807130958034395,4.807130958034395,0.0,0,0,1601,260376,4,12,12,0,0,0,0
9.29,9.29,0.9999999998923573,2.331172549845958,2.331172549845958,0.0,0,0,544,1924,4,12,12,0,0,0,0
178265.0,178265.0,0.9999999999999944,12.091032095819042,12.091032095819042,0.0,0,0,21418,1315,3,12,12,0,0,0,0
4968.24,4968.24,0.9999999999997986,8.51102218989257,8.51102218989257,0.0,0,0,741,741,5,12,12,0,0,0,0
15.97,15.97,0.9999999999373825,2.831447079246135,2.831447079246135,0.0,0,0,1046,1046,5,12,12,0,0,0,0
165.63,165.63,0.9999999999939625,5.115775785550532,5.115775785550532,0.0,0,0,1315,125106,4,12,12,0,0,0,0
26.42,26.42,0.9999999999621498,3.3112726741341683,3.3112726741341683,0.0,0,0,1046,274159,4,12,12,0,0,0,0
298.47,298.47,0.9999999999966496,5.702014245593553,5.702014245593553,0.0,0,0,1601,2190056,4,12,12,0,0,0,0
0.09,0.09,0.999999988888889,0.08617769624105233,0.08617769624105233,0.0,0,0,1601,21418,4,12,12,0,0,0,0
34776847.1,34776847.1,1.0,17.36446243886202,17.36446243886202,0.0,0,0,0,0,5,12,12,0,0,0,0
4332.0,4332.0,0.9999999999997691,8.374015421739909,8.374015421739909,0.0,0,0,0,2310,3,12,12,0,0,0,0
369786.0,369786.0,0.9999999999999973,12.82068244317987,12.82068244317987,0.0,0,0,1488,2776,3,12,12,0,0,0,0
1560.89,1560.89,0.9999999999993594,7.353651905384637,7.353651905384637,0.0,0,0,31386,31386,5,12,12,0,0,0,0
84.38,84.38,0.9999999999881488,4.447111881329816,4.447111881329816,0.0,0,0,31857,31857,5,12,12,0,0,0,0
34.33,34.33,0.9999999999708711,3.5647324613710536,3.5647324613710536,0.0,0,0,11304,4011,4,12,12,0,0,0,0
8.69,8.69,0.9999999998849252,2.2710944259026746,2.2710944259026746,0.0,0,0,2310,48786,4,12,12,0,0,0,0
59.37,59.37,0.9999999999831566,4.100492292808335,4.100492292808335,0.0,0,0,20,4011,4,12,12,0,0,0,0
0.06,0.06,0.9999999833333336,0.05826890812397577,0.05826890812397577,0.0,0,0,2776,261418,4,12,12,0,0,0,0
17.2,17.2,0.9999999999418605,2.9014215940827497,2.9014215940827497,0.0,0,0,2776,2776,5,12,12,0,0,0,0
24.63,24.63,0.9999999999593991,3.24376354037598,3.24376354037598,0.0,0,0,1818,1818,5,12,12,0,0,0,0
41.4,41.4,0.9999999999758455,3.7471483622379123,3.7471483622379123,0.0,0,0,1818,4011,4,12,12,0,0,0,0
19.44,19.44,0.9999999999485597,3.017493765335504,3.017493765335504,0.0,0,0,1313,4011,4,12,12,0,0,0,0
0.18,0.18,0.9999999944444444,0.16551443847757338,0.16551443847757338,0.0,0,0,1922,4011,4,12,12,0,0,0,0
7844.45,7844.45,0.9999999999998724,8.967689024898705,8.967689024898705,0.0,0,0,1315,1315,5,12,12,0,0,0,0
1313043.0,1313043.0,0.9999999999999993,14.087858663766863,14.087858663766863,0.0,0,0,2954,1818,0,12,12,0,0,0,0
2369525.72,2369525.72,0.9999999999999996,14.678200796966841,14.678200796966841,0.0,0,0,1924,544,3,12,12,0,0,0,0
1293.21,1293.21,0.9999999999992267,7.165655749374337,7.165655749374337,0.0,0,0,20,20,5,12,12,0,0,0,0
601783.0,601783.0,0.9999999999999982,13.307653855918694,13.307653855918694,0.0,0,0,1313,20,3,12,12,0,0,0,0
2567249.0,2567249.0,0.9999999999999997,14.758345845060541,14.758345845060541,0.0,0,0,21418,2310,0,12,12,0,0,0,0
27563.11,27563.11,0.9999999999999637,10.22426984318166,10.22426984318166,0.0,0,0,1046,1046,5,12,12,0,0,0,0
0.01,0.01,0.99999990000001,0.009950330853168083,0.009950330853168083,0.0,0,0,31620,0,3,12,12,0,0,0,0
23.61,23.61,0.9999999999576451,3.2031528644029645,3.2031528644029645,0.0,0,0,21418,21418,5,12,12,0,0,0,0
3.8,3.8,0.9999999997368421,1.5686159179138452,1.5686159179138452,0.0,0,0,1315,1315,5,12,12,0,0,0,0
0.13,0.13,0.9999999923076923,0.12221763272424921,0.12221763272424921,0.0,0,0,1818,53518,4,12,12,0,0,0,0
18.87,18.87,0.9999999999470058,2.9892110565637253,2.9892110565637253,0.0,0,0,544,165399,4,12,12,0,0,0,0
7.29,7.29,0.9999999998628257,2.1150499691472033,2.1150499691472033,0.0,0,0,0,0,5,12,12,0,0,0,0
19.72,19.72,0.99999999994929,3.031099417391282,3.031099417391282,0.0,0,0,20,20,5,12,12,0,0,0,0
44.9,44.9,0.9999999999777284,3.8264651170664994,3.8264651170664994,0.0,0,0,20,53518,4,12,12,0,0,0,0
9.02,9.02,0.9999999998891352,2.3045830956567186,2.3045830956567186,0.0,0,0,2310,158866,4,12,12,0,0,0,0
17.34,17.34,0.9999999999423299,2.9090844668283187,2.9090844668283187,0.0,0,0,1046,1046,5,12,12,0,0,0,0
3.44,3.44,0.9999999997093023,1.4906543764441333,1.4906543764441333,0.0,0,0,741,8513,4,12,12,0,0,0,0
